tj_id,c,1b,2b,ss,3b,of,util,sp,rp
jassondominguez,False,False,False,False,False,True,True,False,False
colesands,False,False,False,False,False,False,False,False,True
kirbyyates,False,False,False,False,False,False,False,False,True
yuseikikuchi,False,False,False,False,False,False,False,True,False
coltkeith,False,False,True,False,True,False,True,False,False
cedricmullins,False,False,False,False,False,True,True,False,False
aaronashby,False,False,False,False,False,False,False,False,True
dylancrews,False,False,False,False,False,True,True,False,False
kodaisenga,False,False,False,False,False,False,False,True,False
yimigarcia,False,False,False,False,False,False,False,False,True
joemusgrove,False,False,False,False,False,False,False,True,False
gerritcole,False,False,False,False,False,False,False,True,False
anthonysantander,False,False,False,False,False,True,True,False,False
seranthonydominguez,False,False,False,False,False,False,False,False,True
ivanherrera,False,False,False,False,False,False,True,False,False
carloscorrea,False,False,False,True,True,False,True,False,False
jacoblatz,False,False,False,False,False,False,False,True,True
mattmclain,False,False,True,False,False,False,True,False,False
rynenelson,False,False,False,False,False,False,False,True,True
josealvarado,False,False,False,False,False,False,False,False,True
brentondoyle,False,False,False,False,False,True,True,False,False
dylanlee,False,False,False,False,False,False,False,False,True
gabrielmoreno,True,False,False,False,False,False,True,False,False
caseymize,False,False,False,False,False,False,False,True,False
kyleleahy,False,False,False,False,False,False,False,False,True
ottolopez,False,False,True,True,False,False,True,False,False
jeffmcneil,False,False,True,False,False,True,True,False,False
jackleiter,False,False,False,False,False,False,False,True,False
tylerrogers,False,False,False,False,False,False,False,False,True
michaelbusch,False,True,False,False,False,False,True,False,False
tylerholton,False,False,False,False,False,False,False,True,True
andrewbenintendi,False,False,False,False,False,True,True,False,False
codyponce,False,False,False,False,False,False,False,True,False
gabespeier,False,False,False,False,False,False,False,False,True
luisarraez,False,True,False,False,False,False,True,False,False
reeseolson,False,False,False,False,False,False,False,True,False
ramonlaureano,False,False,False,False,False,True,True,False,False
chrisbassitt,False,False,False,False,False,False,False,True,False
justinsterner,False,False,False,False,False,False,False,False,True
brayanbello,False,False,False,False,False,False,False,True,False
ezequieltovar,False,False,False,True,False,False,True,False,False
markvientos,False,False,False,False,True,False,True,False,False
mattsvanson,False,False,False,False,False,False,False,False,True
seanmanaea,False,False,False,False,False,False,False,True,False
loganhenderson,False,False,False,False,False,False,False,True,False
larsnootbaar,False,False,False,False,False,True,True,False,False
clayholmes,False,False,False,False,False,False,False,True,False
jonathanindia,False,False,True,False,True,True,True,False,False
victorvodnik,False,False,False,False,False,False,False,False,True
jesussanchez,False,False,False,False,False,True,True,False,False
sethlugo,False,False,False,False,False,False,False,True,False
nickcastellanos,False,False,False,False,False,True,True,False,False
benbrown,False,False,False,False,False,False,False,True,True
addisonbarger,False,False,False,False,True,True,True,False,False
connornorby,False,False,False,False,True,False,True,False,False
davidpeterson,False,False,False,False,False,False,False,True,False
samuelbasallo,True,False,False,False,False,False,True,False,False
kevinginkel,False,False,False,False,False,False,False,False,True
tylersoderstrom,False,True,False,False,False,True,True,False,False
louisvarland,False,False,False,False,False,False,False,False,True
michaelwacha,False,False,False,False,False,False,False,True,False
lucaserceg,False,False,False,False,False,False,False,False,True
jackperkins,False,False,False,False,False,False,False,False,True
mickeymoniak,False,False,False,False,False,True,True,False,False
benjoyce,False,False,False,False,False,False,False,False,True
nolanschanuel,False,True,False,False,False,False,True,False,False
shelbymiller,False,False,False,False,False,False,False,False,True
jpcrawford,False,False,False,True,False,False,True,False,False
willicastro,False,False,True,False,True,True,True,False,False
fernandocruz,False,False,False,False,False,False,False,False,True
kyleteel,True,False,False,False,False,False,True,False,False
andrewsaalfrank,False,False,False,False,False,False,False,False,True
shanesmith,False,False,False,False,False,False,False,True,False
kazumaokamoto,False,False,False,False,True,False,True,False,False
rokisasaki,False,False,False,False,False,False,False,True,False
claytonbeeter,False,False,False,False,False,False,False,False,True
hoganharris,False,False,False,False,False,False,False,False,True
mattwallner,False,False,False,False,False,True,True,False,False
