,name,name_ascii,fg_id,mlb_id,espn_id,tj_id
278,Garrett Cooper,Garrett Cooper,15279,643265,33398,garrettcooper
279,Emilio Pagán,Emilio Pagan,14771,641941,33403,emiliopagan
280,Rob Refsnyder,Rob Refsnyder,13770,608701,33411,robrefsnyder
281,Jake Cave,Jake Cave,14477,595909,33417,jakecave
282,Eric Haase,Eric Haase,14111,606992,33452,erichaase
283,Matt Duffy,Matt Duffy,13836,622110,33453,mattduffy
284,Yandy Díaz,Yandy Diaz,16578,650490,33481,yandydiaz
285,Shawn Armstrong,Shawn Armstrong,12857,542888,33499,shawnarmstrong
286,Elier Hernandez,Elier Hernandez,13750,,33517,elierhernandez
287,Jack López,Jack Lopez,13663,605346,33518,jacklopez
288,Adam Frazier,Adam Frazier,15223,624428,33546,adamfrazier
289,Sean Murphy,Sean Murphy,19352,669221,33557,seanmurphy
290,Isiah Kiner-Falefa,Isiah Kiner-Falefa,16512,643396,33572,isiahkinerfalefa
291,Elias Díaz,Elias Diaz,11680,553869,33594,eliasdiaz
292,Manuel Margot,Manuel Margot,14712,622534,33599,manuelmargot
293,Raisel Iglesias,Raisel Iglesias,17130,628452,33618,raiseliglesias
294,Buck Farmer,Buck Farmer,14814,571656,33627,buckfarmer
295,Kendall Graveman,Kendall Graveman,15514,608665,33636,kendallgraveman
296,Danny Coulombe,Danny Coulombe,13293,543056,33638,dannycoulombe
297,Amir Garrett,Amir Garrett,14375,607237,33652,amirgarrett
298,Tayron Guerrero,Tayron Guerrero,11691,,33654,tayronguerrero
299,Domingo Germán,Domingo German,17149,593334,33660,domingogerman
300,Mitch Garver,Mitch Garver,15161,641598,33667,mitchgarver
301,Tyler Duffey,Tyler Duffey,13758,608648,33668,tylerduffey
302,Taylor Rogers,Taylor Rogers,13449,573124,33671,taylorrogers
303,Willy Adames,Willy Adames,15986,642715,33675,willyadames
304,Chad Wallach,Chad Wallach,17161,,33678,chadwallach
305,Matt Bowman,Matt Bowman,13528,621199,33685,mattbowman
306,Joe Mantiply,Joe Mantiply,14857,573009,33691,joemantiply
307,Carlos Rodón,Carlos Rodon,16137,607074,33696,carlosrodon
308,Nick Gordon,Nick Gordon,16337,624503,33705,nickgordon
309,Alex Jackson,Alex Jackson,17276,656577,33707,alexjackson
310,Aaron Nola,Aaron Nola,16149,605400,33709,aaronnola
311,Trea Turner,Trea Turner,16252,607208,33710,treaturner
312,Michael Conforto,Michael Conforto,16376,624424,33711,michaelconforto
313,Kyle Schwarber,Kyle Schwarber,16478,656941,33712,kyleschwarber
314,Aramis Garcia,Aramis Garcia,16925,605244,33714,aramisgarcia
315,Steven Okert,Steven Okert,13580,595345,33716,stevenokert
316,Derek Hill,Derek Hill,16947,656537,33721,derekhill
317,Mitch Keller,Mitch Keller,17594,656605,33722,mitchkeller
318,Forrest Wall,Forrest Wall,16496,657088,33726,forrestwall
319,Nick Burdi,Nick Burdi,16074,595897,33728,nickburdi
320,Spencer Turnbull,Spencer Turnbull,16207,605513,33732,spencerturnbull
321,Ryan Yarbrough,Ryan Yarbrough,16502,642232,33735,ryanyarbrough
322,Brady Feigl,Brady Feigl,15968,621399,33738,bradyfeigl
323,Miguel Andujar,Miguel Andujar,15878,609280,33743,miguelandujar
324,Blake Snell,Blake Snell,13543,605483,33748,blakesnell
325,Antonio Senzatela,Antonio Senzatela,15488,622608,33750,antoniosenzatela
326,Miguel Díaz,Miguel Diaz,18815,622766,33751,migueldiaz
327,Sean Reid-Foley,Sean Reid-Foley,17034,656887,33756,seanreidfoley
328,Joe Jiménez,Joe Jimenez,15761,641729,33760,joejimenez
329,Michael Kopech,Michael Kopech,17282,656629,33763,michaelkopech
330,Luke Weaver,Luke Weaver,16918,596133,33770,lukeweaver
331,Foster Griffin,Foster Griffin,16432,,33773,fostergriffin
332,Brian Anderson,Brian Anderson,18289,605119,33776,briananderson
