tj_id,fp_atc,fp_alt,alt-atc,fp_avg,fp_e,atc-e,total_25
hunterbrown,493.47174500000006,515.5,22.028254999999945,504.4858725,511.5,-18.028254999999945,553.2
devinwilliams,502.23380999999995,506.5,4.266190000000051,504.366905,484.5,17.73380999999995,364.0
davidbednar,499.841705,508.5,8.65829500000001,504.1708525,562.0,-62.15829500000001,492.3
yordanalvarez,488.01482,513.52484,25.510020000000054,500.76983,521.0,-32.985180000000014,145.0
freddiefreeman,504.32186,491.56872599999997,-12.753134000000045,497.945293,519.0,-14.678139999999985,528.0
mookiebetts,507.75676,486.90779000000003,-20.84896999999995,497.332275,517.0,-9.243240000000014,496.0
maxfried,488.68827,505.5,16.81173000000001,497.094135,522.5,-33.81173000000001,595.2
andresmunoz,521.68145,468.0,-53.68145000000004,494.840725,556.5,-34.81854999999996,571.7
jesusluzardo,473.179155,514.0,40.82084500000002,493.5895775,532.0,-58.82084500000002,539.8
seiyasuzuki,487.17650999999995,499.80478,12.628270000000043,493.490645,510.0,-22.82349000000005,533.0
mannymachado,492.4223820000001,490.87632063,-1.546061370000075,491.64935131500005,551.0,-58.577617999999916,555.0
aroldischapman,487.19074,496.0,8.809259999999995,491.59537,549.0,-61.809259999999995,548.2
austinriley,481.21508,495.27965000000006,14.06457000000006,488.24736500000006,487.0,-5.78492,320.0
rileygreene,495.27461000000005,479.09736,-16.177250000000072,487.185985,512.0,-16.725389999999948,545.0
frambervaldez,479.81233999999995,494.5,14.68766000000005,487.15617,543.5,-63.68766000000005,510.0
taylorward,485.18029,488.85389,3.673599999999965,487.01709,507.0,-21.819709999999986,550.0
chrissale,459.70275000000004,513.5,53.79724999999996,486.601375,470.0,-10.297249999999963,377.8
maikelgarcia,486.17699000000005,482.63644000000005,-3.540549999999996,484.4067150000001,478.0,8.176990000000046,531.0
nickpivetta,463.148595,505.0,41.851405,484.0742975,460.0,3.1485950000000003,534.3
jarrenduran,479.78291,487.88222,8.099310000000003,483.83256500000005,577.0,-97.21708999999998,564.0
logangilbert,462.843755,504.5,41.65624500000001,483.6718775,541.0,-78.15624500000001,374.0
mattchapman,475.97204,490.69159999999994,14.719559999999944,483.33182,456.0,19.972039999999993,427.0
briceturang,487.58132,470.60091,-16.980410000000006,479.091115,535.0,-47.418679999999995,548.0
ianhapp,479.15307,477.73489,-1.4181800000000067,478.44398,520.0,-40.846929999999986,506.0
geraldoperdomo,493.91916,456.01183000000003,-37.907329999999945,474.96549500000003,523.0,-29.080840000000023,632.0
