tjid,fgId,NameASCII,org,pos,age,jersey
rileyobrien,20348,Riley O'Brien,STL,RP,31,61
miketrout,10155,Mike Trout,LAA,DH,34,27
ernieclement,20352,Ernie Clement,TOR,3B,30,22
bradysinger,25377,Brady Singer,CIN,SP,29,51
xanderbogaerts,12161,Xander Bogaerts,SDP,SS,33,2
trentgrisham,18564,Trent Grisham,NYY,OF,29,12
shawnarmstrong,12857,Shawn Armstrong,CLE,RP,35,43
alecburleson,27615,Alec Burleson,STL,OF,27,41
jassondominguez,28080,Jasson Dominguez,NYY,OF,23,24
colesands,21461,Cole Sands,MIN,RP,28,44
kirbyyates,9073,Kirby Yates,LAA,RP,39,39
yuseikikuchi,20633,Yusei Kikuchi,LAA,SP,35,16
coltkeith,27899,Colt Keith,DET,DH,24,33
cedricmullins,17929,Cedric Mullins,TBR,OF,31,31
aaronashby,23550,Aaron Ashby,MIL,RP,28,26
dylancrews,33541,Dylan Crews,WSN,OF,24,3
kodaisenga,31838,Kodai Senga,NYM,SP,33,34
yimigarcia,12095,Yimi Garcia,TOR,RP,35,93
anthonysantander,14551,Anthony Santander,TOR,DH,31,25
seranthonydominguez,19249,Seranthony Dominguez,CHW,RP,31,58
ivanherrera,20599,Ivan Herrera,STL,DH,26,48
carloscorrea,14162,Carlos Correa,HOU,SS,31,1
jacoblatz,21306,Jacob Latz,TEX,RP,30,67
mattmclain,29695,Matt McLain,CIN,2B,26,9
rynenelson,26253,Ryne Nelson,ARI,SP,28,19
josealvarado,17780,Jose Alvarado,PHI,RP,31,46
brentondoyle,25479,Brenton Doyle,COL,OF,28,9
dylanlee,19996,Dylan Lee,ATL,RP,31,52
gabrielmoreno,22664,Gabriel Moreno,ARI,C,26,14
caseymize,20492,Casey Mize,DET,SP,29,12
kyleleahy,24763,Kyle Leahy,STL,RP,29,62
ottolopez,19608,Otto Lopez,MIA,SS,27,6
jeffmcneil,15362,Jeff McNeil,ATH,2B,34,22
jackleiter,30146,Jack Leiter,TEX,SP,26,35
tylerrogers,15541,Tyler Rogers,TOR,RP,35,71
michaelbusch,26319,Michael Busch,CHC,1B,28,29
tylerholton,26231,Tyler Holton,DET,RP,30,87
andrewbenintendi,17901,Andrew Benintendi,CHW,OF,31,23
gabespeier,17170,Gabe Speier,SEA,RP,31,55
luisarraez,18568,Luis Arraez,FA,1B,29,4
reeseolson,24968,Reese Olson,DET,SP,26,45
ramonlaureano,17128,Ramon Laureano,SDP,OF,31,5
chrisbassitt,12304,Chris Bassitt,FA,SP,37,40
justinsterner,27694,Justin Sterner,ATH,RP,29,60
brayanbello,23920,Brayan Bello,BOS,SP,27,66
ezequieltovar,24064,Ezequiel Tovar,COL,SS,24,14
markvientos,22184,Mark Vientos,NYM,3B,26,27
mattsvanson,29629,Matt Svanson,STL,RP,27,49
seanmanaea,15873,Sean Manaea,NYM,SP,34,59
loganhenderson,31475,Logan Henderson,MIL,SP,24,43
larsnootbaar,21454,Lars Nootbaar,STL,OF,28,21
clayholmes,13649,Clay Holmes,NYM,SP,33,35
jonathanindia,21523,Jonathan India,KCR,2B,29,6
victorvodnik,24614,Victor Vodnik,COL,RP,26,38
jesussanchez,19913,Jesus Sanchez,HOU,OF,28,4
sethlugo,12447,Seth Lugo,KCR,SP,36,67
nickcastellanos,11737,Nick Castellanos,PHI,OF,34,8
benbrown,23590,Ben Brown,CHC,SP,26,32
addisonbarger,24598,Addison Barger,TOR,3B,26,47
connornorby,29592,Connor Norby,MIA,3B,26,1
davidpeterson,20302,David Peterson,NYM,SP,30,23
samuelbasallo,28824,Samuel Basallo,BAL,C,21,29
kevinginkel,19876,Kevin Ginkel,ARI,RP,32,37
tylersoderstrom,27467,Tyler Soderstrom,ATH,OF,24,21
louisvarland,27691,Louis Varland,TOR,RP,28,77
michaelwacha,14078,Michael Wacha,KCR,SP,34,52
lucaserceg,19360,Lucas Erceg,KCR,RP,31,60
jackperkins,31468,Jack Perkins,ATH,RP,26,50
mickeymoniak,19956,Mickey Moniak,COL,OF,28,22
benjoyce,31461,Ben Joyce,LAA,RP,25,44
nolanschanuel,33189,Nolan Schanuel,LAA,1B,24,18
shelbymiller,10197,Shelby Miller,FA,RP,35,55
jpcrawford,15491,J.P. Crawford,SEA,SS,31,3
willicastro,17338,Willi Castro,COL,OF,29,1
fernandocruz,7048,Fernando Cruz,NYY,RP,36,63
kyleteel,33549,Kyle Teel,CHW,C,24,8
andrewsaalfrank,26203,Andrew Saalfrank,ARI,RP,28,27
shanesmith,31687,Shane Smith,CHW,SP,26,64
rokisasaki,35323,Roki Sasaki,LAD,SP,24,11
claytonbeeter,27494,Clayton Beeter,WSN,RP,27,39
hoganharris,21520,Hogan Harris,ATH,RP,29,36
mattwallner,26466,Matt Wallner,MIN,OF,28,38
sethhalvorsen,33294,Seth Halvorsen,COL,RP,26,54
jasonadam,11861,Jason Adam,SDP,RP,34,40
masynwinn,27479,Masyn Winn,STL,SS,24,0
ryanohearn,16442,Ryan O'Hearn,PIT,1B,32,29
coltoncowser,29591,Colton Cowser,BAL,OF,26,17
eriksabrowski,24978,Erik Sabrowski,CLE,RP,28,62
giancarlostanton,4949,Giancarlo Stanton,NYY,DH,36,27
gregorysoto,19677,Gregory Soto,PIT,RP,31,31
jamesontaillon,11674,Jameson Taillon,CHC,SP,34,50
austinwells,27562,Austin Wells,NYY,C,26,28
colsonmontgomery,29712,Colson Montgomery,CHW,SS,24,12
orionkerkering,31776,Orion Kerkering,PHI,RP,25,50
josebutto,23313,Jose Butto,SFG,RP,28,70
joshlowe,19953,Josh Lowe,LAA,OF,28,3
braxtonashcraft,23793,Braxton Ashcraft,PIT,RP,26,67
keeganakin,19362,Keegan Akin,BAL,RP,31,45
calebthielbar,10078,Caleb Thielbar,CHC,RP,39,24
zachmckinstry,19392,Zach McKinstry,DET,3B,31,39
quinnpriester,25977,Quinn Priester,MIL,SP,25,46
chasemeidroth,31580,Chase Meidroth,CHW,SS,24,10
jackdreyer,30249,Jack Dreyer,LAD,RP,27,86
andresgimenez,19950,Andres Gimenez,TOR,2B,27,0
justintopa,15145,Justin Topa,MIN,RP,35,48
spencersteer,26323,Spencer Steer,CIN,1B,28,7
gavinsheets,19901,Gavin Sheets,SDP,OF,30,30
joeycantillo,23335,Joey Cantillo,CLE,RP,26,54
