tjid,NameASCII,fgId,Name,Org,Pos,PlayerId,Age,_merge
joelvaldez,Joel Valdez,sa3011397,,,,,,left_only
hunterbishop,Hunter Bishop,sa3011413,,,,,,left_only
michaelcuevas,Michael Cuevas,sa3011437,,,,,,left_only
stephenscott,Stephen Scott,sa3011469,,,,,,left_only
jcflowers,J.C. Flowers,sa3011493,,,,,,left_only
houstonroth,Houston Roth,sa3011527,,,,,,left_only
nickrichmond,Nick Richmond,sa3011538,,,,,,left_only
conorgrammes,Conor Grammes,sa3011651,,,,,,left_only
noahsong,Noah Song,sa3011695,,,,,,left_only
averyshort,Avery Short,sa3011712,,,,,,left_only
ryanharbin,Ryan Harbin,sa3011733,,,,,,left_only
karsonsimas,Karson Simas,sa3011739,,,,,,left_only
shanesasaki,Shane Sasaki,sa3011754,,,,,,left_only
alexandercornielle,Alexander Cornielle,sa3011779,,,,,,left_only
hungonkim,Hun Gon Kim,sa3011906,,,,,,left_only
byeongwoojeon,Byeong-woo Jeon,sa3011926,,,,,,left_only
kihyunyang,Kih-Yun Yang,sa3011929,,,,,,left_only
seongminkim,Seongmin Kim,sa3011930,,,,,,left_only
kyuminwoo,Kyu-min Woo,sa3012000,,,,,,left_only
yongkyulee,Yongkyu Lee,sa3012015,,,,,,left_only
jaehokim,Jaeho Kim,sa3012016,,,,,,left_only
minhokang,Minho Kang,sa3012023,,,,,,left_only
jeongchoi,Jeong Choi,sa3012034,,,,,,left_only
jonghyunwon,Jong-hyun Won,sa3012035,,,,,,left_only
euijiyang,Euiji Yang,sa3012037,,,,,,left_only
yongchanlee,Yongchan Lee,sa3012046,,,,,,left_only
ahseopson,Ah-seop Son,sa3012050,,,,,,left_only
taegunkim,Taegun Kim,sa3012057,,,,,,left_only
geonchangseo,Geonchang Seo,sa3012058,,,,,,left_only
junwoojeon,Junwoo Jeon,sa3012061,,,,,,left_only
kyoungminhur,Kyoung-min Hur,sa3012064,,,,,,left_only
sangsookim,Sang-soo Kim,sa3012065,,,,,,left_only
seunghyunlee,Seung-hyun Lee,sa3012166,,,,,,left_only
