,name,name_ascii,fg_id,MLBAMID,espn_id,tj_id
320,Termarr Johnson,Termarr Johnson,sa3020214,,5080632,termarrjohnson
321,Cam Collier,Cam Collier,sa3020131,,5080634,camcollier
322,Elijah Green,Elijah Green,sa3032653,,5080635,elijahgreen
323,Dylan Lesko,Dylan Lesko,sa3020677,,5080636,dylanlesko
325,Brandon Barriera,Brandon Barriera,sa3020683,,5080640,brandonbarriera
333,Malcolm Moore,Malcolm Moore,sa3025250,,5080758,malcolmmoore
334,Mikey Romero,Mikey Romero,sa3020216,,5080760,mikeyromero
340,Blair Calvo,Blair Calvo,25416,,5116817,blaircalvo
343,Royber Salinas,Royber Salinas,sa3009243,,5120814,roybersalinas
344,Hector Rodriguez,Hector Rodriguez,sa3040980,,5122878,hectorrodriguez
349,Michael Arroyo,Michael Arroyo,sa3018429,,5124097,michaelarroyo
350,Yasser Mercedes,Yasser Mercedes,sa3019557,,5124099,yassermercedes
352,Roderick Arias,Roderick Arias,sa3019674,,5124108,roderickarias
353,Cristhian Vaquero,Cristhian Vaquero,sa3018403,,5124110,cristhianvaquero
354,Jaison Chourio,Jaison Chourio,sa3018399,,5124111,jaisonchourio
356,Thayron Liranzo,Thayron Liranzo,sa3015790,,5124162,thayronliranzo
359,Patrick Forbes,Patrick Forbes,sa3031537,,5128252,patrickforbes
360,Gavin Kilen,Gavin Kilen,sa3035353,,5128254,gavinkilen
361,Riley Quick,Riley Quick,sa3040326,,5128516,rileyquick
362,Jurrangelo Cijntje,Jurrangelo Cijntje,sa3028930,,5128581,jurrangelocijntje
363,Andrew Fischer,Andrew Fischer,sa3031366,,5128616,andrewfischer
364,Marek Houston,Marek Houston,sa3034152,,5128689,marekhouston
365,Ike Irish,Ike Irish,sa3034445,,5128734,ikeirish
366,Jamie Arnold,Jamie Arnold,sa3026225,,5128820,jamiearnold
367,Zach Root,Zach Root,sa3041130,,5128914,zachroot
368,Nestor German,Nestor German,sa3023517,,5128973,nestorgerman
369,Jace LaViolette,Jace LaViolette,sa3036058,,5129010,jacelaviolette
370,Cam Cannarella,Cam Cannarella,sa3028360,,5129285,camcannarella
372,Gage Wood,Gage Wood,sa3045536,,5129556,gagewood
373,Brody Hopkins,Brody Hopkins,sa3023515,,5130133,brodyhopkins
374,Caden Bodine,Caden Bodine,sa3027305,,5130529,cadenbodine
375,Liam Doyle,Liam Doyle,sa3030545,,5130533,liamdoyle
377,Daison Acosta,Daison Acosta,sa944989,,5131747,daisonacosta
380,Domingo Gonzalez,Domingo Gonzalez,sa3007495,,5132247,domingogonzalez
384,Jake Cook,Jake Cook,sa3029303,,5135107,jakecook
385,Khal Stephen,Khal Stephen,sa3043049,,5135839,khalstephen
386,Jack Gurevitch,Jack Gurevitch,sa3032859,,5135856,jackgurevitch
387,Michael Flynn,Michael Flynn,sa3006803,,5135948,michaelflynn
388,Carlos Linarez,Carlos Linarez,sa3016346,,5137262,carloslinarez
389,Austin Gauthier,Austin Gauthier,sa3017121,,5137678,austingauthier
391,Tyler Bremner,Tyler Bremner,sa3027644,,5140115,tylerbremner
392,Aiva Arquette,Aiva Arquette,sa3026235,,5140737,aivaarquette
393,Mitch Voit,Mitch Voit,sa3044552,,5140797,mitchvoit
394,Brendan Summerhill,Brendan Summerhill,sa3043325,,5140852,brendansummerhill
395,Bryce Mayer,Bryce Mayer,sa3025558,,5143560,brycemayer
398,Arjun Nimmala,Arjun Nimmala,sa3022892,,5148966,arjunnimmala
399,Noble Meyer,Noble Meyer,sa3022945,,5148967,noblemeyer
401,Blake Mitchell,Blake Mitchell,sa3022756,,5148985,blakemitchell
403,Dillon Head,Dillon Head,sa3022753,,5149066,dillonhead
404,Charlee Soto,Charlee Soto,sa3023450,,5149067,charleesoto
406,George Lombard Jr.,George Lombard Jr.,sa3023233,,5149070,georgelombardjr
409,Adrian Santana,Adrian Santana,sa3022890,,5149080,adriansantana
410,Jonny Farmelo,Jonny Farmelo,sa3023362,,5149081,jonnyfarmelo
412,George Wolkow,George Wolkow,sa3022817,,5149086,georgewolkow
413,Brandon Winokur,Brandon Winokur,sa3022613,,5149089,brandonwinokur
416,Josh Knoth,Josh Knoth,sa3023420,,5149103,joshknoth
417,Tai Peete,Tai Peete,sa3022966,,5149107,taipeete
418,Myles Naylor,Myles Naylor,sa3022605,,5149109,mylesnaylor
419,Kendall George,Kendall George,sa3022660,,5149110,kendallgeorge
420,Felix Morrobel,Felix Morrobel,sa3021103,,5150885,felixmorrobel
421,Jeremy Rodriguez,Jeremy Rodriguez,sa3021101,,5150898,jeremyrodriguez
422,Felnin Celesten,Felnin Celesten,sa3023381,,5150934,felnincelesten
423,Joendry Vargas,Joendry Vargas,sa3021067,,5150936,joendryvargas
424,Alfredo Duno,Alfredo Duno,sa3021066,,5150938,alfredoduno
425,Jeter Martinez,Jeter Martinez,sa3021738,,5150940,jetermartinez
426,Derniche Valdez,Derniche Valdez,sa3021068,,5150942,dernichevaldez
428,Brando Mayea,Brando Mayea,sa3020679,,5150948,brandomayea
429,Reiner Lopez,Reiner Lopez,sa3024885,,5150949,reinerlopez
430,Brailer Guerrero,Brailer Guerrero,sa3021072,,5150951,brailerguerrero
431,Starlyn Caba,Starlyn Caba,sa3021070,,5150952,starlyncaba
432,Rayner Arias,Rayner Arias,sa3021076,,5150954,raynerarias
433,Janero Miller,Janero Miller,sa3021077,,5150955,janeromiller
434,Gian Zapata,Gian Zapata,sa3021079,,5150957,gianzapata
435,Esmil Valencia,Esmil Valencia,sa3021082,,5150961,esmilvalencia
436,Luis Guanipa,Luis Guanipa,sa3020884,,5150962,luisguanipa
437,Yophery Rodriguez,Yophery Rodriguez,sa3021083,,5150963,yopheryrodriguez
438,Arnaldo Lantigua,Arnaldo Lantigua,sa3021084,,5150964,arnaldolantigua
439,Filippo Di Turi,Filippo Di Turi,sa3021093,,5150965,filippodituri
440,Robert Calaz,Robert Calaz,sa3021078,,5150966,robertcalaz
441,Enrique Jimenez,Enrique Jimenez,sa3021091,,5150967,enriquejimenez
442,Yoeilin Cespedes,Yoeilin Cespedes,sa3021085,,5150968,yoeilincespedes
443,Daiverson Gutierrez,Daiverson Gutierrez,sa3021086,,5150973,daiversongutierrez
444,Welbyn Francisca,Welbyn Francisca,sa3021087,,5150975,welbynfrancisca
446,Michael Arias,Michael Arias,sa3017036,,5185134,michaelarias
447,Kyle Brnovich,Kyle Brnovich,sa3014923,,5194331,kylebrnovich
448,Andrew Moore,Andrew Moore,sa3016795,,5194584,andrewmoore
451,Raimon Gomez,Raimon Gomez,sa3017645,,5194674,raimongomez
455,Ray Gaither,Ray Gaither,sa3017270,,5195676,raygaither
456,Rhett Kouba,Rhett Kouba,sa3017544,,5195677,rhettkouba
457,Adolfo Sanchez,Adolfo Sanchez,sa3023709,,5196117,adolfosanchez
458,Humberto Cruz,Humberto Cruz,sa3025115,,5196119,humbertocruz
460,Paulino Santana,Paulino Santana,sa3023718,,5196125,paulinosantana
461,Daiber De Los Santos,Daiber De Los Santos,sa3023885,,5196128,daiberdelossantos
462,Jorge Quintana,Jorge Quintana,sa3024107,,5196129,jorgequintana
463,Adriel Radney,Adriel Radney,sa3023886,,5196147,adrielradney
464,Emil Morales,Emil Morales,sa3023887,,5196148,emilmorales
465,Robert Arias,Robert Arias,sa3024304,,5196149,robertarias
466,Yovanny Rodriguez,Yovanny Rodriguez,sa3023720,,5196152,yovannyrodriguez
467,Jose Perdomo,Jose Perdomo,sa3025104,,5196153,joseperdomo
468,Victor Hurtado,Victor Hurtado,sa3023888,,5196154,victorhurtado
469,Eduardo Herrera,Eduardo Herrera,sa3002702,,5196155,eduardoherrera
470,Yandel Ricardo,Yandel Ricardo,sa3024305,,5196156,yandelricardo
471,Ashly Andujar,Ashly Andujar,sa3023890,,5196157,ashlyandujar
472,Leonardo Pineda,Leonardo Pineda,sa3023721,,5196158,leonardopineda
473,Angel Feliz,Angel Feliz,sa3023892,,5196160,angelfeliz
474,Richard Matic,Richard Matic,sa3023749,,5196163,richardmatic
475,Yolfran Castillo,Yolfran Castillo,sa3023726,,5196166,yolfrancastillo
476,Jhonny Level,Jhonny Level,sa3023898,,5196168,jhonnylevel
477,Edward Lantigua,Edward Lantigua,sa3024476,,5196169,edwardlantigua
478,Eduardo Beltre,Eduardo Beltre,sa3024928,,5196173,eduardobeltre
479,Franklin Rojas,Franklin Rojas,sa3025018,,5196176,franklinrojas
480,Yohendry Sanchez,Yohendry Sanchez,sa3023896,,5196207,yohendrysanchez
481,Branneli Franco,Branneli Franco,sa3023818,,5196210,brannelifranco
483,Luis Cova,Luis Cova,sa3023723,,5196213,luiscova
484,Francisco Vilorio,Francisco Vilorio,sa3023893,,5196214,franciscovilorio
485,Angel Guzman,Angel Guzman,sa3021268,,5196215,angelguzman
486,Edgar Montero,Edgar Montero,sa3024109,,5196216,edgarmontero
487,Stiven Martinez,Stiven Martinez,sa3024627,,5196217,stivenmartinez
488,Andres Arias,Andres Arias,sa3025145,,5196218,andresarias
489,Joswa Lugo,Joswa Lugo,sa3023894,,5196219,joswalugo
490,Emilio Sanchez,Emilio Sanchez,sa3024110,,5196220,emiliosanchez
491,Alex Hoppe,Alex Hoppe,sa3020836,,5196247,alexhoppe
493,Wehiwa Aloy,Wehiwa Aloy,sa3025961,,5198677,wehiwaaloy
494,Kade Anderson,Kade Anderson,sa3026056,,5198748,kadeanderson
495,Luke Stevenson,Luke Stevenson,sa3043081,,5198828,lukestevenson
496,Charles Davalan,Charles Davalan,sa3029860,,5199167,charlesdavalan
497,Marcus Phillips,Marcus Phillips,sa3039870,,5199424,marcusphillips
498,Kyson Witherspoon,Kyson Witherspoon,sa3045487,,5199621,kysonwitherspoon
499,Anderson Pilar,Anderson Pilar,sa917899,,5201180,andersonpilar
504,Henry Lalane,Henry Lalane,sa3016066,,5204200,henrylalane
505,Francis Pena,Francis Pena,sa3019374,,5204210,francispena
506,Zyhir Hope,Zyhir Hope,sa3022703,,5204650,zyhirhope
507,Jancel Villarroel,Jancel Villarroel,sa3020102,,5205472,jancelvillarroel
510,Austin Charles,Austin Charles,sa3020497,,5205707,austincharles
512,Hyun-Seok Jang,Hyun-Seok Jang,sa3023601,,5208179,hyunseokjang
514,Bryce Rainer,Bryce Rainer,sa3066592,,5218286,brycerainer
515,Cam Caminiti,Cam Caminiti,sa3025607,,5218289,camcaminiti
516,Ryan Sloan,Ryan Sloan,sa3067131,,5218293,ryansloan
517,Slade Caldwell,Slade Caldwell,sa3066460,,5218295,sladecaldwell
518,Theo Gillen,Theo Gillen,sa3025565,,5218298,theogillen
519,Kellon Lindsey,Kellon Lindsey,sa3067042,,5218299,kellonlindsey
520,Kash Mayfield,Kash Mayfield,sa3067104,,5218300,kashmayfield
521,Braylon Doughty,Braylon Doughty,sa3067030,,5218306,braylondoughty
522,PJ Morlando,PJ Morlando,sa3025199,,5218348,pjmorlando
523,Dante Nori,Dante Nori,sa3025411,,5218350,dantenori
524,Braylon Payne,Braylon Payne,sa3025647,,5218354,braylonpayne
525,Levi Sterling,Levi Sterling,sa3066664,,5218358,levisterling
526,Caleb Bonemer,Caleb Bonemer,sa3067043,,5218360,calebbonemer
527,JD Dix,JD Dix,sa3066859,,5218362,jddix
530,Jean Cabrera,Jean Cabrera,sa3015433,,5255102,jeancabrera
531,Henry Baez,Henry Baez,sa3016584,,5255103,henrybaez
532,Angel Bastardo,Angel Bastardo,sa3009716,,5259069,angelbastardo
