fullName,espnId
Malquin Canelo,39386
Osvaldo Manuel Abreu,35288
Osvaldo Duarte,39420
Jonathan Willems,41301
Yonathan Mendoza,34193
Gianfranco Wawoe,34035
Javier Betancourt,33496
Aramis Ademan,40924
Gregory Guerrero,41323
JT Schwartz,4422906
Haydn McGeary,5085213
John Rhodes,4622138
Raymond Mola,5150970
Brock Vradenburg,5140499
Branden Boissiere,4751531
Manuel Cabrera,5150944
Amaurys Minier,33830
Corey Zangari,34969
B.J. Murray Jr.,4425432
Wes Kath,4917777
Kevin Bruggeman,5074367
Cristian Santana,4917802
Kevin Ereu,5150959
Tony Ruiz,5150971
Rickardo Perez,4917937
Roismar Quintana,4920828
Albert Feliz,4722957
Juan Santander,4917808
Alexander Mojica,42456
Jesus David Parra,4917883
Jose Bonilla,4917829
Junior Sanquintin,4722861
Milkar Perez,4918161
Yan Contreras,4722858
Diowill Manuel Burgos,4917861
Danny Diaz,41002
Yairo Munoz,33828
Alfonso Rivas III,41693
Jhailyn Ortiz,40931
Michel Triana,4722855
Grant Lavigne,41226
Jiman Choi,31779
Kevin Maitan,38828
Cristian Santana,40431
Bryce Ball,42426
Jesus Aguilar,32132
Brandon Lewis,4722951
Jose Peraza,32470
Sonny DiChiara,4418651
Dennis Ortega,36165
Raudy Read,34697
Roy Morales,35299
Colton Shaver,42835
Samir Duenez,36057
Thomas Dillard,42776
Allen Cordoba,36085
Edwin Espinal,34060
Jhoan Urena,33747
Juremi Profar,35267
Renato Nunez,32778
Arol Vera,42452
Maikol Hernandez,4917645
Angel Cepeda,5150958
Leonel Valera,41729
Erik Gonzalez,33018
Pedro Martinez,42923
Alexander Vargas,4532044
Gilbert Lara,33835
Curley Martha,5196162
Naibel Mariano,5196118
Jay Allen,4872694
Alberto Rodriguez,4918158
Gavin Cross,4669423
Madison Stokes,42147
Simon Muzziotti,40861
Lorenzo Cedrola,39384
Taylor Kohlwey,38304
Luis Mieses,4722936
Bladimir Restituyo,4917791
TJ Hopkins,4987644
Jeremy De La Rosa,42496
Diego Hernandez,5116800
Orlando Martinez,41535
Leury Garcia,30664
Peyton Burdick,42428
Robert Perez,41987
Felix Valerio,4917864
Dalton Guthrie,41621
Justin Dirden,4416461
Connor Scott,41191
Marty Costes,42756
Raimel Tapia,33264
Alexfri Planez,42444
Jairo Pomares,42458
Allan Cerda,4720895
Kaden Polcovich,4636166
Jeisson Rosario,40342
Agustin Ruiz,41976
Vaun Brown,4088275
Wilderd Patino,42461
Jordan Nwogu,4423340
Lolo Sanchez,40686
Yonathan Daza,34086
Hunter David Bishop,42193
Brayan Buelvas,4684430
Alerick Soularie,4414710
Jhon Diaz,4722927
Chavez Young,41635
Alexander Ovalles,41123
Yasel Antuna,40460
Jameson Hannah,41230
Stanley Consuegra,41350
Yoelqui Cespedes,4081913
Trey Harris,41609
Wuilfredo Antunez,5136201
Alex Ramirez,42544
Abraham Almonte,31474
Brady Allen,4413900
Yeison Morrobel,4920831
Darryl Collins,42473
Gilberto Jimenez,42447
Victor Mesa,41134
Christopher Newell,5135928
Bryant Packard,42422
Zach Daniels,4297836
Lazaro Robersy Armenteros,38830
Tanner Allen,4298646
D'Shawn Knowles,41342
Rodolfo Nolasco,4918243
Alexander Suarez,4920905
Korry Howell,43014
Justice Thompson,4775361
Logan Cerny,4905902
Ian Lewis,4917855
Maikol Orozco,5150935
Juan Carlos Negret,4917814
Misael Urbina,42418
Robby Martin,4418625
Cam Eden,4418336
Jordan Viars,4918073
Eric De La Rosa,4987634
Isaiah Greene,4435106
Anthony Gutierrez,5124105
Jack Herman,42952
Jorge Ona,36743
Ryan Holgate,4751538
Cristian Perez,5150887
Malvin Valdez,4917786
Adrian Hernandez,41235
Daniel Montesino,4918255
Yhoswar Garcia,4917936
Ariel Almonte,4917696
Jeferson Espinal,42475
Daniel Montano,41051
Jhonny Piron,4722913
Roilan Machandy,4993399
Lonnie White Jr.,4601282
Sergio Campana,4918241
Jake Vogel,4722546
Tyler Whitaker,4917807
Luis Basabe,34985
Luis David Medina,4917866
Jalvin Arias,5196120
James Beard,4720854
Ismael Mena,42482
Alan Mejia,4722940
Eduardo Diaz,41037
Eric Santana,4917900
Juan Chacon,4722519
Yermin Mercedes,36148
Luis Pino,4920833
Raimfer Salinas,42481
Leobaldo Cabrera,4987860
Eduarqui Fernandez,41380
Carlos Tocci,33221
Wilmin Candelario,42537
Belfi Rivera,5196159
Hedbert Perez,42535
Cesar Hernandez,5196164
Daniel Woodrow,41427
Kier Meredith,4307824
Isaac Bellony,4917657
Michael Beltre,38653
Juan Alonso,5099972
Jose De La Cruz,42495
Bralyn Brazoban,5196175
Mariel Bautista,41388
Pablo Olivares,40955
Andy Acevedo,5150933
Vladimir Asencio,5196212
Cole Brannen,40966
Pedro Pineda,4918086
Madison Santos,4722859
Omar Estevez,35296
Anthony Baptist,5150974
Erick Pena,42405
Jonatan Machado,41080
Enmanuel Bonilla,5138133
Luis Bolivar,4919921
Gabriel Maciel,40993
Shalin Polanco,4918247
Jhon Torres,41764
Ariel Castro,5150950
Micker Adolfo,33781
Darling Fernandez,5150943
Seuly Matias,40989
Benyamin Bailey,42443
Osvaldo Gavilan,4918242
Eduardo Vaughan,4722722
Bayron Lora,42478
José Cardona,34066
Galvi Moscat,34031
Yerlin Luis,5150946
Eliezer Alvarez,36058
Wuilmer Becerra,35006
Eddy Martinez,34946
Deivy Castillo,34253
Ricardo Marcano,34206
Jesus Martinez,34194
Omar Carrizales,34098
Michael Medina,34204
Kyler Murray,41185
Wadye Ynfante,41079
Greifer Andrade,40956
Zeke White,35067
Isael Soto,33808
Conner Uselton,40938
Starling Heredia,41036
Trent Deveaux,41370
Larry Ernesto,41347
Mac Wainwright,4722520
Freddy Valdez,41294
Marcos Brito,41395
Cullen Large,41708
Carlos Rincon,39255
Sean Gamble,5293159
Slater de Brun,5293156
Eduardo Lopez,4722948
Bryan Gonzalez,4722969
Jeremy Rivas,4920837
Estiven Machado,4722946
Brainer Bonaci,4720889
Manuel Beltre,4720857
Ray-Patrick Elijah Didder,36493
Tucupita Marcano,40936
Arquimedes Gamboa,41078
Johan Camargo,33741
Yu Chang,33876
Fabian Pertuz,42990
Maikol Escotto,42477
Shervyen Newton,41272
Johan Lopez,4722949
Adeiny Hechavarria,31049
Leandro Romero,5196165
Freudis Nova,40844
Jose Antonio Caballero,4917884
Daniel Vazquez,4917810
Yariel Gonzalez,42531
Wander Javier,40928
Wilmer Andres Reyes,4917896
Christopher Torres,35295
Engelb Vielma,34696
Daniel Pierce,5293148
JoJo Parker,5293143
Josh Hammond,5293158
Xavier Neyens,5293157
Jordan Yost,5293171
Steele Hall,5293146
Brady Ebel,5293183
Wilson Garcia,41157
Ibandel Euclides Isabel,41877
Wendell Rijo,33919
Desmond Lindsay,35008
Jeison Guzman,41001
Bryce Bush,4720891
Jonny Brooks Homza,4746950
Peniel Brito,5194682
Richi Gonzalez,4917809
Nestor Miranda,5196167
Alcides Hernandez,5273778
Cam Michael Devanney,43001
Gage Stanifer,5333216
Helder Rosario,5276075
Jase Mitchell,5332363
Jonathan Harris,35003
Joshua Grosz,5202898
Josiah Hartshorn,5333213
Matt James Kroon,4987655
Mitch Jebb,5140487
Peter Hansen,5201570
Truitt Madonna,5332365
Yohemy Nolasco,5332367
