name,pos_string,player_mlb_org,player_age,abbrev,contract_type,contract_years,contract_dollars,fp_atc,fp_alt,alt-atc,fp_avg,fp_e,atc-e
Cade Cavalli,SP,WSN,27.0,,,,,298.408115,345.5,47.09188499999999,321.9540575,278.0,20.40811500000001
Charlie Morton,SP,FA,42.0,,,,,173.64826,188.0,14.351740000000008,180.82413,274.5,-100.85174
Anthony Kay,SP,,,,,,,261.616735,294.5,32.883264999999994,278.05836750000003,270.5,-8.883264999999994
Tomoyuki Sugano,SP,FA,36.0,,,,,248.87221,269.5,20.627790000000005,259.186105,269.5,-20.627790000000005
Parker Messick,SP,CLE,25.0,YB,aa,,0.0,274.686075,306.5,31.81392500000004,290.5930375,267.0,7.68607499999996
Landen Roupp,SP,SFG,27.0,,,,,282.20629,294.5,12.293710000000033,288.353145,263.0,19.206289999999967
Michael McGreevy,SP,STL,25.0,DCT,aaa_opt,1.0,0.0,309.61074,288.0,-21.61074000000002,298.80537000000004,259.5,50.11074000000002
Brad Lord,SP/RP,WSN,26.0,,,,,279.89943,278.5,-1.3994299999999953,279.199715,258.0,21.899429999999995
Joe Boyle,SP,TBR,26.0,CS,aaa_opt,1.0,0.0,224.68803,266.5,41.81197,245.594015,256.5,-31.81197
Hunter Barco,SP,PIT,25.0,,,,,207.86918,210.5,2.6308200000000284,209.18459,254.0,-46.13082000000003
Erick Fedde,SP/RP,FA,33.0,WCS,aaa_opt,1.0,0.0,42.216835,7.24212,-34.974715,24.7294775,249.5,-207.283165
Janson Junk,SP,MIA,30.0,,,,,191.122575,179.0,-12.122575000000012,185.0612875,246.0,-54.87742499999999
Jose Quintana,SP,FA,37.0,ORl,aaa_opt,1.0,0.0,219.36735,287.0,67.63265000000001,253.183675,245.0,-25.63265000000001
Sean Manaea,SP,NYM,34.0,,,,,333.845655,363.0,29.154345000000035,348.4228275,243.5,90.34565499999997
Jacob Lopez,SP,ATH,28.0,,,,,320.09829,340.5,20.40170999999998,330.299145,240.5,79.59829000000002
Ryan Weathers,SP,NYY,26.0,YB,contract,2.0,1.29,305.740515,339.0,33.259484999999984,322.3702575,239.0,66.74051500000002
Payton Tolle,SP,BOS,23.0,,,,,123.87933999999998,114.5,-9.379339999999983,119.18967,235.5,-111.62066000000002
Will Warren,SP,NYY,27.0,YB,aa,,0.0,294.567815,300.5,5.932185000000004,297.5339075,234.5,60.067815
Michael Soroka,SP,ARI,28.0,,,,,308.91670000000005,309.5,0.5832999999999515,309.20835,233.0,75.91670000000005
Marcus Stroman,SP,FA,35.0,SZ,aaa_opt,1.0,0.0,217.7821915,253.0,35.21780849999999,235.39109575,230.5,-12.71780849999999
Taijuan Walker,SP/RP,PHI,33.0,,,,,206.764239,185.0,-21.764239000000003,195.8821195,230.0,-23.235761
Tyler Mahle,SP,SFG,31.0,,,,,297.331995,333.0,35.668004999999994,315.1659975,229.5,67.831995
Caden Dana,SP,LAA,22.0,WCS,aa,,0.0,172.61053499999997,200.0,27.38946500000003,186.3052675,228.5,-55.88946500000003
Kumar Rocker,SP,TEX,26.0,RW,contract,4.0,1.85,223.10987,301.5,78.39013,262.304935,226.0,-2.890129999999999
Spencer Arrighetti,SP,HOU,26.0,ORl,contract,2.0,3.4,222.00773500000005,176.0,-46.007735000000025,199.0038675,225.5,-3.492264999999975
Luis Morales,SP,ATH,23.0,,,,,253.330935,275.5,22.169065000000018,264.4154675,222.5,30.830934999999982
Josiah Gray,SP,,,,,,,209.70916000000005,231.0,21.290839999999942,220.35458000000003,220.5,-10.790839999999946
Nestor Cortes,SP,FA,31.0,,,,,34.0581105,7.7066,-26.3515105,20.88235525,220.0,-185.9418895
Braxton Ashcraft,SP/RP,PIT,26.0,,,,,305.530225,318.0,12.469775000000029,311.7651125,219.5,86.03022499999997
Chase Dollander,SP,COL,24.0,CR,aa,,0.0,229.797735,286.5,56.70226499999998,258.1488675,217.5,12.297735000000015
Lance McCullers Jr.,SP,HOU,32.0,,,,,203.94542500000003,239.5,35.55457499999997,221.7227125,217.5,-13.554574999999971
Ben Brown,SP/RP,CHC,26.0,DCT,aa,,0.0,136.92207000000002,115.0,-21.92207000000002,125.961035,217.5,-80.57792999999998
Randy Vasquez,SP,SDP,27.0,,,,,256.369685,294.0,37.630315,275.1848425,217.0,39.369685
Bryce Elder,SP,ATL,27.0,,,,,141.278805,122.5,-18.77880500000001,131.88940250000002,216.0,-74.721195
Max Meyer,SP,MIA,27.0,WCS,contract,3.0,1.7,279.53896,305.5,25.961040000000025,292.51948,213.5,66.03895999999997
Aaron Civale,SP,FA,31.0,WCS,aaa_opt,1.0,0.0,241.177675,324.5,83.32232499999998,282.8388375,208.5,32.67767500000002
Jack Dreyer,SP/RP,LAD,27.0,,,,,102.470435,130.0,27.529565000000005,116.2352175,208.0,-105.529565
Richard Fitts,SP,STL,26.0,CS,aa,,0.0,204.180665,204.0,-0.1806650000000047,204.0903325,206.5,-2.3193349999999957
Tyler Holton,SP/RP,DET,30.0,,,,,183.12194,180.0,-3.121939999999995,181.56097,203.5,-20.378060000000005
Connelly Early,SP,BOS,24.0,,,,,142.784525,104.5,-38.284525,123.6422625,200.5,-57.715475
Reese Olson,SP,DET,26.0,SZ,contract,1.0,1.0,301.31597,304.0,2.684030000000007,302.657985,200.0,101.31597
Griffin Canning,SP,FA,30.0,WCS,arb1,,0.0,266.41993,328.5,62.08006999999998,297.459965,193.5,72.91993000000002
Colin Rea,SP,CHC,35.0,,,,,183.3994600000001,153.0,-30.39946000000006,168.19973000000005,189.0,-5.600539999999938
Cody Bradford,SP,,,,,,,103.34227,89.5,-13.84227,96.421135,187.0,-83.65773
Jose Corniell,SP,TEX,23.0,,,,,48.91167146,17.0,-31.91167146,32.955835730000004,182.0,-133.08832854
Kyle Harrison,SP,BOS,24.0,CS,pre_arb,1.0,1.0,123.342165,130.5,7.157835000000006,126.9210825,179.0,-55.657835000000006
Ryan Feltner,SP,COL,29.0,SZ,aaa_opt,1.0,0.0,200.7353,181.5,-19.235299999999967,191.11765,176.5,24.235299999999967
Javier Assad,SP,CHC,28.0,,,,,139.858145,118.5,-21.358145000000007,129.17907250000002,176.5,-36.64185499999999
Kutter Crawford,SP,,,,,,,189.32689,172.0,-17.32688999999999,180.663445,173.5,15.826889999999992
Ryan Yarbrough,SP/RP,NYY,34.0,,,,,139.85278000000002,118.0,-21.852780000000024,128.92639000000003,170.5,-30.647219999999976
Carmen Mlodzinski,SP/RP,PIT,27.0,,,,,151.30736000000002,142.5,-8.807360000000017,146.90368,164.0,-12.692639999999985
Robert Gasser,SP,MIL,27.0,,,,,198.09191,225.5,27.408090000000016,211.795955,164.0,34.091909999999984
Eric Lauer,SP/RP,TOR,31.0,,,,,136.919265,112.5,-24.419265,124.7096325,163.0,-26.080735000000004
Tyler Alexander,SP/RP,TEX,31.0,,,,,148.330231,145.0,-3.3302309999999977,146.6651155,159.5,-11.169769000000002
Hunter Dobbins,SP,STL,26.0,,,,,191.80181,165.0,-26.80180999999999,178.400905,158.0,33.80180999999999
Corbin Burnes,SP,ARI,31.0,,,,,98.50652999999998,108.0,9.493470000000016,103.253265,157.5,-58.993470000000016
German Marquez,SP,FA,31.0,,,,,186.40376,236.0,49.59624,211.20188,155.5,30.903760000000005
